StudentID SubjectIndex OHT1 OHT2 Quiz1 Quiz2 Quiz3 Quiz4 Assignment1 Assignment2 Assignment3 Project FinalScore
240201061 6 16 18 10 8 9 7 15 13 14 19 88
240201061 7 14 18 8 9 8 7 14 12 16 20 86

240201063 1 14 17 9 8 8 8 13 11 14 18 80
240201063 2 13 16 8 7 7 6 14 10 12 17 78
240201063 3 12 15 9 8 8 7 14 13 12 19 82
240201063 4 15 17 9 9 8 7 13 14 16 19 84
240201063 5 14 16 7 6 6 5 15 12 14 17 79
240201063 6 16 18 8 9 9 7 14 13 17 18 85
240201063 7 17 19 10 9 9 8 15 14 18 20 89

240201065 1 12 16 10 9 8 8 14 12 13 19 82
240201065 2 11 15 9 8 7 7 12 10 12 18 78
240201065 3 13 16 10 9 8 8 14 12 13 20 84
240201065 4 16 18 8 9 8 7 13 14 17 19 85
240201065 5 14 16 9 8 7 6 15 13 16 18 81
240201065 6 18 20 10 9 9 8 16 14 19 20 90
240201065 7 15 17 9 8 7 6 14 12 15 18 83

240201067 1 14 18 9 8 8 7 13 11 14 18 80
240201067 2 15 19 9 8 8 8 14 12 15 19 82
240201067 3 13 17 9 8 8 8 14 12 13 18 84
240201067 4 17 19 9 7 8 9 15 14 17 20 90
240201067 5 16 18 9 7 9 7 15 13 15 19 85
240201067 6 14 17 8 7 8 7 13 12 14 18 80
240201067 7 18 20 10 9 9 8 16 14 19 20 92

240201069 1 12 16 9 8 8 7 14 12 14 19 82
240201069 2 13 17 9 8 7 8 14 12 15 19 84
240201069 3 15 18 10 9 9 9 15 13 16 20 88
240201069 4 17 20 9 7 8 8 14 13 15 18 86
240201069 5 14 17 9 8 8 7 13 11 15 17 81
240201069 6 18 20 10 9 9 9 16 14 17 19 91
240201069 7 16 18 8 7 8 8 14 12 14 18 83


240201071 1 15 18 9 8 8 7 13 11 14 18 80
240201071 2 14 19 9 8 9 8 14 13 15 19 84
240201071 3 13 16 9 7 7 8 15 12 14 18 82
240201071 4 16 17 9 8 9 7 14 13 16 20 86
240201071 5 17 19 10 9 8 8 15 14 16 18 88
240201071 6 15 18 8 7 8 6 14 13 14 19 83
240201071 7 14 18 9 8 9 7 13 12 15 19 85

240201073 114 16 8 7 8 7 13 11 14 19 80
240201073 2 13 17 8 8 7 6 14 12 14 18 81
240201073 3 12 16 9 8 9 8 14 13 15 19 82
240201073 4 16 18 10 8 8 7 15 13 16 19 85
240201073 5 17 19 9 8 8 9 14 12 17 20 88
240201073 6 15 17 8 7 8 7 13 11 14 18 80
240201073 7 14 19 9 8 9 8 13 12 15 20 86

240201075 1 13 16 8 7 8 7 14 12 14 19 80
240201075 2 14 18 9 8 9 7 15 13 16 20 84
240201075 3 12 15 8 7 7 6 14 12 14 18 79
240201075 4 16 18 9 8 8 7 14 13 15 19 85
240201075 5 17 19 10 9 9 8 15 14 16 18 88
240201075 6 15 17 8 7 8 6 13 11 14 19 83
240201075 7 14 18 9 8 9 7 13 12 15 20 86

240201079 1 12 16 9 8 8 7 14 12 14 19 82
240201079 2 13 17 9 8 7 8 13 11 14 18 81
240201079 3 12 15 8 7 7 6 14 12 14 18 79
240201079 4 16 18 9 8 8 7 14 13 15 19 85
240201079 5 17 19 10 9 9 8 15 14 16 18 88
240201079 6 15 17 8 7 8 6 13 11 14 19 83
240201079 7 14 18 9 8 9 7 13 12 15 20 86

240201081 1 12 16 9 8 8 7 14 12 14 19 82
240201081 2 13 17 9 8 7 8 13 11 14 18 81
240201081 3 12 15 8 7 7 6 14 12 14 18 79
240201081 4 16 18 9 8 8 7 14 13 15 19 85
240201081 5 17 19 10 9 9 8 15 14 16 18 88
240201081 6 15 17 8 7 8 6 13 11 14 19 83
240201081 7 14 18 9 8 9 7 13 12 15 20 86

240201083 1 12 16 9 8 8 7 14 12 14 19 82
240201083 2 13 17 9 8 7 8 13 11 14 18 81
240201083 3 12 15 8 7 7 6 14 12 14 18 79
240201083 4 16 18 9 8 8 7 14 13 15 19 85
240201083 5 17 19 10 9 9 8 15 14 16 18 88
240201083 6 15 17 8 7 8 6 13 11 14 19 83
240201083 7 14 18 9 8 9 7 13 12 15 20 86

240201085 1 12 16 9 8 8 7 14 12 14 19 82
240201085 2 13 17 9 8 7 8 13 11 14 18 81
240201085 3 12 15 8 7 7 6 14 12 14 18 79
240201085 4 16 18 9 8 8 7 14 13 15 19 85
240201085 5 17 19 10 9 9 8 15 14 16 18 88
240201085 6 15 17 8 7 8 6 13 11 14 19 83
240201085 7 14 18 9 8 9 7 13 12 15 20 86
